screen_name,location,created_at,language,created_year
denisec89,hazleton pa,2009-03-29 21:53:44,,2009
SCLefrere,"Earth 🌎, Universe ✨",2015-10-10 14:54:55,,2015
1110CLM,"ÜT: 4.643729,-74.055476",2021-03-01 15:20:59,,2021
KyawBala16,,2021-02-03 12:19:38,,2021
karak78,,2008-10-07 15:46:19,,2008
viamatanzas,,2020-11-09 07:57:43,,2020
PlanzerReto,,2021-01-24 21:22:30,,2021
luimouro,,2020-03-21 14:40:47,,2020
CIGA_Design_UK,United Kingdom,2019-06-26 10:06:34,,2019
dickson56757320,,2021-02-23 17:51:04,,2021
thehairspring,,2017-03-27 14:36:34,,2017
SwatchUK,London,2015-01-07 11:56:15,,2015
octonion,"Versailles, KY",2009-09-27 19:25:04,,2009
Cross_pp,"Osaka,JAPAN",2010-02-13 02:41:41,,2010
SPProDesign,"Distrito Federal, México",2019-08-08 06:13:41,,2019
rickmaderis,"Portland, OR",2018-01-20 03:32:36,,2018
ChingizMB,Uzbekistan,2011-04-05 10:53:14,,2011
Rindon23,,2016-09-04 01:44:57,,2016
light38373096,,2018-06-15 09:15:02,,2018
Alocak5,"Vinhedo, Brasil",2021-01-31 13:28:24,,2021
justcallmemrzp,"Mobile, AL",2009-03-09 14:26:18,,2009
Shoegirl1970,Houston,2008-11-08 04:16:42,,2008
laithbarfi,,2013-10-02 11:11:17,,2013
VonTheRealtor,"Dallas, TX",2020-06-11 04:51:26,,2020
JCRascal,San Francisco Bay Area,2009-02-06 18:13:17,,2009
brunovauthier26,,2016-01-02 15:53:32,,2016
MicaelaMezzasa1,,2020-09-30 12:14:19,,2020
cmorgan1624,Reading  / hometown :coventry,2012-12-14 18:08:42,,2012
ardawd123,Mississippi,2012-12-02 17:33:23,,2012
technosoul,Minnesota,2009-06-02 23:50:03,,2009
BizLawyer,NYC & Nashville,2007-10-02 18:33:32,,2007
5707a08853e04a3,,2014-12-14 12:04:38,,2014
ecbradley83,Uxbridge,2013-01-03 20:03:23,,2013
TheTeamWayne,"Portsmouth, VA",2010-09-12 15:38:12,,2010
ordyne_pijay,,2016-07-28 13:27:51,,2016
AdorableBub,"Lagos, Nigeria",2011-09-17 20:18:56,,2011
MdArifu76802938,Bangladesh,2021-02-15 04:12:19,,2021
Baseballand5SOS,Georgia,2010-02-22 01:29:08,,2010
humpyourdick,,2021-01-29 20:49:26,,2021
jhamilton74,"Tacoma, WA",2012-07-30 18:40:21,,2012
RabbiAh53929817,"Sylhet,Bangladesh",2021-01-21 04:06:08,,2021
Draxyl,Lethon,2015-02-24 21:05:13,,2015
hejustgaveup,,2009-07-03 21:02:41,,2009
TheBratley,"Seattle, WA",2011-10-08 23:13:35,,2011
kayman3777,"Spartanburg, SC",2009-07-22 07:47:32,,2009
JohnTay58301707,"Tallahassee, FLA",2019-09-13 23:35:49,,2019
bezelchain,,2019-08-01 08:29:51,,2019
hedhlibechir1,,2020-04-14 20:42:55,,2020
chanyeol_ispure,,2020-05-24 11:57:45,,2020
uchusen,I haven't decided,2009-05-22 04:40:01,,2009
watchville,San Francisco,2014-10-20 20:25:33,,2014
HODINKEE,"New York, USA",2009-02-11 03:20:52,,2009
AmazonFashion,,2012-09-12 00:34:10,,2012
amazon,"Seattle, Washington",2009-02-13 18:39:54,,2009
WatchTime,"New York, NY",2012-03-02 16:56:10,,2012
aBlogtoWatch,Los Angeles,2009-02-08 07:40:09,,2009
watchprolive,"London, England",2010-12-02 10:11:16,,2010
MatthiasDandois,"Paris, France",2010-01-30 02:18:38,,2010
wsl,Planet Earth,2009-03-02 04:13:57,,2009
VANS_66,"California, USA",2008-07-10 21:36:30,,2008
briangalindo,"Los Angeles, CA",2013-02-12 23:09:47,,2013
LesBatt,UK,2011-06-23 06:50:50,,2011
conorstanage,"Belfast, N. Ireland",2012-05-14 06:31:49,,2012
CNN,,2007-02-09 00:35:02,,2007
altonbrown,Everywhere,2011-05-06 02:48:47,,2011
MeltingIce,USA,2007-01-16 01:59:20,,2007
McDonalds,,2009-09-02 17:46:43,,2009
BurgerKing,,2010-07-16 15:08:05,,2010
Wendys,,2009-07-23 18:54:01,,2009
netflix,"California, USA",2008-10-03 04:16:17,,2008
DroneRaceLeague,,2015-05-07 20:08:33,,2015
ComplexCon,,2016-02-16 16:23:35,,2016
hypebae,,2015-10-16 03:57:35,,2015
VICESports,,2011-09-09 19:42:49,,2011
TIME,,2008-04-03 13:54:30,,2008
thehundreds,"Los Angeles, California",2009-05-26 01:37:57,,2009
SInow,"New York, NY",2009-04-02 16:42:30,,2009
ww_review,NYC,2014-09-07 02:09:29,,2014
BeachMajors,Vienna,2015-02-24 15:23:35,,2015
ComplexStyle,,2011-01-26 12:54:42,,2011
WIREDInsider,,2009-04-13 17:58:42,,2009
Hearst,NYC,2009-02-26 16:37:10,,2009
RooseveltField,Garden City NY 11530,2010-07-08 18:57:06,,2010
WIRED,San Francisco/New York,2007-03-17 09:57:25,,2007
ShopFashionMall,"Indianapolis, IN",2010-07-06 18:20:52,,2010
ShopTysons,"McLean, VA",2009-05-14 21:54:41,,2009
HoustonGalleria,"Houston, Texas",2009-08-10 16:35:56,,2009
NorthParkCenter,"Dallas, TX",2009-06-08 22:08:27,,2009
KoP_Mall,"King of Prussia, PA",2009-04-14 18:28:30,,2009
Queens_Center,"Elmhurst, NY",2009-05-14 21:15:31,,2009
GSPlaza,"Paramus, NJ",2009-05-22 13:26:19,,2009
mallofamerica,"Bloomington, Minnesota",2008-07-23 15:39:12,,2008
WoodfieldMall,"Schaumburg, IL",2010-10-19 21:51:46,,2010
AlaMoanaCenter,"Honolulu, Hawaii",2008-08-15 03:34:56,,2008
ShopFloridaMall,"Orlando, FL",2010-07-06 18:28:00,,2010
ShopDadeland,"Miami, Florida, USA",2010-05-20 18:22:37,,2010
ShopMerrickPark,"Coral Gables (Miami), FL",2009-10-15 20:22:00,,2009
AventuraMall,"19501 Biscayne Blvd, Miami, FL",2009-04-28 17:03:44,,2009
0024WatchWorld,Almere,2010-03-23 11:12:16,,2010
PSUHazleton,"Hazleton, PA",2011-02-14 16:16:02,,2011
ada25celebrate,,2015-06-12 21:06:16,,2015
NedryVirginia,,2021-01-22 14:09:28,,2021
PMendey,,2021-01-14 16:25:17,,2021
SJungleib,"Palo Alto, CA",2013-01-29 18:15:53,,2013
bluecollarpod,Pennsylvania,2017-05-13 01:55:52,,2017
PghNittany,,2011-11-01 00:09:43,,2011
AlagieHuma4,,2020-12-27 08:46:20,,2020
dinahaddie,"A John Samson show, probably",2015-04-06 13:35:31,,2015
AJanesch,,2018-06-30 13:48:11,,2018
fortheblogy,,2020-10-06 02:47:44,,2020
Amandas27702,,2020-02-10 16:23:34,,2020
Tiffany76416313,"Hazleton,PA",2020-12-16 04:46:02,,2020
SANDRALOUKING,Ohio,2017-10-15 01:24:58,,2017
KevinJo06746091,Los Angeles California ,2020-12-19 12:05:56,,2020
BabaDrammeh19,,2020-11-15 10:18:06,,2020
MikePennState,"New York, NY",2019-04-11 16:00:43,,2019
Tabubu333,,2020-10-28 11:19:13,,2020
PrintCorcoran,"Wilkes-Barre, PA",2011-05-11 13:08:38,,2011
billcorcoranjr,"Wilkes-Barre, PA",2010-09-08 17:49:02,,2010
boogenites21,"Glen Burnie, MD",2011-07-24 12:26:24,,2011
Battle15B,,2018-03-24 22:32:19,,2018
Nolebucgrl,"Tampa, FL",2008-10-11 20:12:37,,2008
BellaBrinks3,,2020-11-21 22:25:30,,2020
PSU_LakeErie,Penn State Alumni,2012-09-06 19:44:53,,2012
CATABUS,"State College, PA",2009-01-02 17:44:29,,2009
dollarxone,,2020-11-04 19:58:05,,2020
order_company,"California, USA",2020-07-17 08:58:15,,2020
The_Lions_Paw,"Pittsburgh, PA",2020-11-10 16:13:08,,2020
TankSchottle,,2011-07-03 12:54:43,,2011
NewYorkCity_b,Internet,2014-08-13 00:55:37,,2014
map408psu,"Fairfax, VA",2007-07-24 19:19:12,,2007
ChrisMattCook,,2012-07-11 17:37:27,,2012
29TimKing,,2013-09-16 00:57:36,,2013
bianca_rackley,,2020-06-27 16:51:38,,2020
PSU_FB_Thoughts,,2019-09-02 17:30:37,,2019
JPellegrini1983,"Long Island, New York",2011-04-17 02:56:03,,2011
KawusuSanneh,,2020-04-19 17:24:27,,2020
SearchWarrant1,,2019-10-18 02:06:37,,2019
JRSnedden,"State College, PA & Western NY",2015-10-18 21:47:13,,2015
possum96075879,"Pennsylvania, USA",2018-02-27 01:30:36,,2018
Sylvest13623390,Gambia,2020-03-06 19:54:45,,2020
ECSReviveMedspa,,2019-10-17 23:35:12,,2019
FleekPhotograp1,"McAdoo, PA",2019-07-23 06:49:14,,2019
CounselingEtc,"Norfolk, VA",2018-05-21 18:10:56,,2018
PSPTroopNPIO,"Hazleton, PA",2017-08-24 17:19:16,,2017
WomanOfTheVoid,United States,2018-11-29 02:05:25,,2018
nflliveplay,United states,2018-12-10 09:33:48,,2018
TiffanyHutton12,Weston PA.,2018-10-29 02:45:21,,2018
ViscoKimberly,"New Jersey, USA",2018-08-09 16:57:26,,2018
EU_GreenCapital,,2010-12-22 17:00:13,,2010
pernelleb22,"Meudon, France",2017-02-04 22:31:39,,2017
MarkusMelin1,Joensuu,2020-09-15 09:40:01,,2020
savepondhockey,"Helsinki, Finland",2016-01-10 20:51:37,,2016
ADEFCAF,,2020-09-10 09:12:32,,2020
stevebaynes,"Helsinki, Finland",2015-08-20 06:30:09,,2015
paveldevyatkin,,2020-10-15 12:23:36,,2020
sejorg,,2009-07-23 16:32:18,,2009
cantpretendtoo,"Pigeon Forge, TN",2016-03-21 21:05:02,,2016
NadaFarhoud,"Brighton, England",2009-03-10 15:49:24,,2009
Vegathlet,,2020-11-23 21:20:26,,2020
VoteTrumpPics,USA,2016-09-09 02:39:17,,2016
CanadaArctic,,2016-03-10 16:54:30,,2016
Douglas15225883,"Quincy, Massachusetts",2020-11-05 06:54:26,,2020
JanosVargha,"Budapest, Hungary",2016-06-13 22:05:38,,2016
enviro_matters,Slovak Republic,2019-05-13 07:57:02,,2019
jmcappiello,United States,2011-08-08 22:47:15,,2011
Strategistic,,2020-09-28 15:52:12,,2020
BeThePolls,,2015-04-11 17:56:42,,2015
InclusiveNorth,Canada,2020-08-19 04:59:35,,2020
OpenStrum,Canada,2013-05-17 18:15:29,,2013
jharveylewis,Unceded,2018-12-25 09:09:39,,2018
Britnatureguide,,2014-11-07 22:34:31,,2014
arcticbureau,,2019-12-20 11:55:38,,2019
GrainesPop,,2020-07-15 20:36:43,,2020
northern__forum,"Якутск, Россия",2019-10-29 07:12:24,,2019
sdwgsecretariat,,2019-06-07 01:38:55,,2019
_SaveOurStatues,UK,2020-06-09 18:02:58,,2020
arcticyouthnet,,2019-10-10 23:48:53,,2019
ThinkCDS,"Washington, DC",2014-08-13 02:09:45,,2014
JeremiahPariag,"Toronto, Ontario",2011-07-11 06:10:14,,2011
TheGordonFdn,"Toronto, Ontario",2011-04-13 18:14:20,,2011
toncarrera,"Madrid, Spain",2011-01-28 14:53:35,,2011
NuitdesEcoles,France,2020-06-17 16:45:17,,2020
JoannaParkinUK,"London, England",2017-09-30 22:11:39,,2017
EU_ENV,Brussels,2011-09-01 13:23:21,,2011
GAddiction06,"Nice, France",2012-12-12 18:57:40,,2012
biret,"Inari, Finland",2008-06-23 09:56:53,,2008
BobJallow2,,2019-06-29 09:30:28,,2019
BatLabFinland,,2020-05-21 08:57:49,,2020
Stabzy_Rehab,,2018-03-18 18:31:37,,2018
henriramberg,"Rovaniemi, Finland",2009-12-16 17:44:11,,2009
estellayoung27,,2012-05-01 19:42:57,,2012
Polar_Katya,,2014-10-23 12:18:56,,2014
HenriWallen,Rovaniemi,2011-03-29 09:40:24,,2011
lalo_blutkind,Mexico City,2010-02-13 19:36:02,,2010
JacquelineIDE92,,2020-06-19 08:50:52,,2020
Unistellar,"Marseille, France",2016-07-10 11:29:00,,2016
MariaVaittinen,,2015-06-30 05:21:47,,2015
pinnanalta,Suomi,2011-11-04 12:07:14,,2011
datafeeds_net,The internet,2020-09-30 20:47:41,,2020
copshoehot,,2019-05-22 09:42:29,,2019
MerryChirt,EveryWhere,2019-04-15 09:08:20,,2019
TonyTallor,"Us, France",2019-04-12 13:16:21,,2019
mathisonelizabe,Omaha,2020-12-26 14:30:05,,2020
MWatsonvg,,2020-12-24 22:17:13,,2020
NancyWr27573812,http://bit.ly/2Pl2Frl,2021-01-01 23:12:14,,2021
SheriKaiser1,,2021-02-24 14:53:10,,2021
JaRodriguezM_,Cali,2013-05-20 02:28:05,,2013
germansantolim2,"Ibagué, Colombia",2016-12-07 00:14:43,,2016
TylerWillettez,,2020-11-28 14:56:22,,2020
fantauffizio,Ufficio Del Fanta,2021-03-01 17:33:27,,2021
persoibague,"Ibagué, Colombia",2013-10-11 15:21:26,,2013
PhyoThi_,Myanmar,2021-02-04 08:52:37,,2021
nyeinthanthar,,2021-02-25 08:54:23,,2021
AungMin33961670,,2021-02-04 01:56:02,,2021
pyaephyokyaw996,"yangon,myanmar",2012-11-06 16:41:16,,2012
KaungHann,Myanmar,2021-02-25 18:16:11,,2021
Phyothi43770398,,2021-02-25 14:36:18,,2021
thazin95370546,,2021-02-04 04:05:41,,2021
JasmineYadi,,2021-02-08 06:25:36,,2021
MyatSu12990111,,2021-02-04 01:30:14,,2021
SuSanda65494738,,2021-02-04 01:48:00,,2021
Susan31150214,,2021-02-04 02:09:29,,2021
JenniferAung23,Singapore,2021-02-06 07:01:53,,2021
Nayyi87457859,,2021-02-04 01:28:19,,2021
ZygodHtet,Yangon ,2018-02-04 18:15:29,,2018
laewai85,French Guiana,2021-02-05 06:21:14,,2021
YoonThetPan,United States,2021-02-03 07:06:23,,2021
Akari26307326,,2021-02-04 05:22:54,,2021
AyePyaePhyo16,,2021-02-04 03:41:21,,2021
EiPwint31,,2021-02-04 09:33:35,,2021
YanNain88720520,,2021-02-03 15:11:57,,2021
smigoldong,,2021-02-04 06:34:03,,2021
MeMeAungMoe5,,2021-02-03 04:44:33,,2021
YoonThi23263661,,2021-02-03 12:45:08,,2021
kitkit52664322,,2021-02-04 03:59:37,,2021
KhinMaMaSoe3,,2021-02-04 01:25:45,,2021
ZNWint1,"England, United Kingdom",2021-02-04 07:57:21,,2021
Theint73612149,,2020-04-11 09:19:16,,2020
hsuhlaingmoe,,2021-02-03 16:27:37,,2021
WaiYanA92042148,Myanmar,2021-02-03 16:05:27,,2021
Elina27889121,,2021-02-03 11:03:59,,2021
AungMyo70384891,Myanmar,2021-02-03 15:20:07,,2021
KhaingLoon,,2021-02-03 10:09:54,,2021
hoam_mo,,2021-02-03 10:29:17,,2021
ThitHtooHan7,,2021-02-04 06:01:31,,2021
TunMyatMyintOo,Myanmar,2015-10-10 10:29:35,,2015
Phyoeei13,,2021-02-03 11:29:07,,2021
mpwint99,Myanmar,2021-02-03 11:37:08,,2021
HlwanHtetMoe,,2021-02-04 03:15:57,,2021
Chuuu82056743,United Kingdom,2021-02-03 11:24:50,,2021
Kelly31762317,Yangon,2021-02-03 13:15:47,,2021
MyoMin68932594,,2021-02-03 11:50:19,,2021
Lmmisme1,,2020-09-26 06:49:23,,2020
saikyawlinhan11,"Osaka-shi Nishinari-ku, Osaka",2015-05-12 13:08:32,,2015
choi_ponyo,,2020-04-15 14:42:56,,2020
