screen_name,location,created_at,language,created_year
John42332098,,2021-02-13 06:28:24,,2021
Jade75923082,,2021-01-11 14:44:16,,2021
ceunii_,,2017-02-13 20:40:16,,2017
N_Orange33expy,,2010-08-11 20:41:55,,2010
soiti0000,近畿圏内,2019-03-28 06:27:42,,2019
ppiittmma,,2019-08-26 17:39:42,,2019
masternaldo,,2018-12-29 03:17:45,,2018
lms3566,埼玉県川越市,2012-07-16 21:53:50,,2012
Y6Xm2,,2019-09-22 13:15:11,,2019
boltxn1,,2021-02-27 04:54:50,,2021
Layaljazz,,2020-04-30 17:10:36,,2020
npsbamm,,2015-06-14 08:36:49,,2015
Ilhammarbun1,"Sumatera Utara, Indonesia",2021-03-01 17:40:51,,2021
MaeStiphany,,2020-12-26 10:12:35,,2020
CRolandls,,2021-03-01 03:00:16,,2021
JayshreeBurnwal,,2015-12-25 13:44:21,,2015
L_____1485,,2019-12-22 06:16:35,,2019
_JohnnyKelly,Ireland,2010-02-19 14:24:37,,2010
mchelledavis1,"Columbus, GA",2016-03-18 21:14:10,,2016
EXOFR_,France,2018-03-28 12:48:03,,2018
MeRemiYusuf,,2016-04-27 21:13:10,,2016
fakamera,,2011-02-18 04:12:33,,2011
ABChogiwa,yixing's dimple,2014-08-18 08:26:59,,2014
Angelyn84179970,,2021-02-23 05:57:22,,2021
eleventwoseven,,2018-06-24 12:03:19,,2018
ikrammina7,Algeria                       ,2019-09-30 20:00:14,,2019
Minseok_Angel,,2017-05-29 05:39:04,,2017
eriw9p,E X O  PLANET,2020-08-19 21:13:04,,2020
GabrielaEpitac1,,2020-10-23 17:11:57,,2020
aisyaputri0602,"Bali, Indonesia",2020-11-23 04:56:06,,2020
kyung_lay,Myanmar,2018-02-23 08:13:38,,2018
Sararajpoot8151, Pakistan,2019-06-12 12:11:52,,2019
captnrapperduck,Musicals,2017-01-12 12:50:26,,2017
4uExo,,2020-12-29 13:47:46,,2020
Exoholic__1485,EXO Planet,2019-04-06 06:53:23,,2019
KAORI102229,日本,2019-03-10 12:54:50,,2019
DKyungsoyaa,ᴸ¹⁴⁸⁵,2020-02-18 11:04:17,,2020
yennie_nini,"Riau, Indonesia",2020-09-05 01:30:39,,2020
Liliriri11,,2020-11-28 16:57:35,,2020
baekishdelight,EXOPlanet,2019-10-24 12:59:57,,2019
They_Sunshine,,2018-02-15 16:42:01,,2018
polarisxing,minor 🇵🇭  she/they,2021-01-03 15:12:04,,2021
Andinhy04,"Makassar, Indonesia",2020-04-20 14:39:04,,2020
11hr11m,dm for removal/credit,2020-03-17 23:06:59,,2020
LOEYshutmedown,"YT: LAY, CHEN, 백현, ㄴㄴㄱ, EXO",2019-12-31 08:24:46,,2019
shesintoEXO,,2021-01-11 08:31:58,,2021
manishdharaiya1,"Rajkot, India",2018-06-12 04:55:46,,2018
Deep_Maini,"New Delhi, India",2012-08-18 05:24:10,,2012
IchrajRathore,,2015-12-19 06:54:14,,2015
dyresse,Harare,2011-01-23 03:02:06,,2011
