domain,variable,user ,centrality
rolex,degree,tarunjaipal_,101
rolex,degree,cyzwe12,101
rolex,degree,Rolex,100
rolex,degree,MLErnest,95
rolex,degree,rochabarr77,86
rolex,degree,SandaAlp,80
rolex,degree,Hanzoda3rd,76
rolex,degree,chiragsolanki02,59
rolex,degree,LerumTK96,54
rolex,degree,Jinks116,54
rolex,betweenness,Rolex,0.5541
rolex,betweenness,ROLEX,0.3348
rolex,betweenness,tarunjaipal_,0.2148
rolex,betweenness,cyzwe12,0.2137
rolex,betweenness,MLErnest,0.2034
rolex,betweenness,rochabarr77,0.1826
rolex,betweenness,SandaAlp,0.1723
rolex,betweenness,Hanzoda3rd,0.1639
rolex,betweenness,chiragsolanki02,0.1275
rolex,betweenness,tylus_allen8,0.1145
rolex,eigenvector,Rolex,0.5098
rolex,eigenvector,cyzwe12,0.268
rolex,eigenvector,tarunjaipal_,0.2585
rolex,eigenvector,MLErnest,0.2303
rolex,eigenvector,rochabarr77,0.1797
rolex,eigenvector,ROLEX,0.1524
rolex,eigenvector,SandaAlp,0.1485
rolex,eigenvector,Hanzoda3rd,0.1376
rolex,eigenvector,LerumTK96,0.1291
rolex,eigenvector,chiragsolanki02,0.1049
rolex,closeness,Rolex,0.5307
rolex,closeness,ROLEX,0.4732
rolex,closeness,tarunjaipal_,0.3771
rolex,closeness,cyzwe12,0.3771
rolex,closeness,MLErnest,0.3754
rolex,closeness,rochabarr77,0.3722
rolex,closeness,SandaAlp,0.3703
rolex,closeness,Hanzoda3rd,0.369
rolex,closeness,chiragsolanki02,0.3638
rolex,closeness,Jinks116,0.3622
omega,degree,Omega,100
omega,degree,hay_mar67,99
omega,degree,Juan00284471,83
omega,degree,atcaLH,62
omega,degree,ReturnsSega,59
omega,degree,AndreaDiDomen16,53
omega,degree,vuk_iv,52
omega,degree,DrMeleseMengis1,51
omega,degree,nistefalwlo,51
omega,degree,AtanasGyulev,50
omega,betweenness,Omega,0.6434
omega,betweenness,hay_mar67,0.2664
omega,betweenness,Juan00284471,0.2319
omega,betweenness,omegawatches,0.1789
omega,betweenness,atcaLH,0.1724
omega,betweenness,ReturnsSega,0.1526
omega,betweenness,nistefalwlo,0.1467
omega,betweenness,AtanasGyulev,0.1394
omega,betweenness,DrMeleseMengis1,0.1357
omega,betweenness,AndreaDiDomen16,0.1327
omega,eigenvector,Omega,0.5377
omega,eigenvector,hay_mar67,0.3635
omega,eigenvector,Juan00284471,0.1841
omega,eigenvector,ReturnsSega,0.1598
omega,eigenvector,AndreaDiDomen16,0.1476
omega,eigenvector,vuk_iv,0.132
omega,eigenvector,atcaLH,0.1316
omega,eigenvector,omegawatches,0.1304
omega,eigenvector,AtanasGyulev,0.1026
omega,eigenvector,DrMeleseMengis1,0.0916
omega,closeness,Omega,0.5413
omega,closeness,omegawatches,0.4152
omega,closeness,hay_mar67,0.3926
omega,closeness,Juan00284471,0.3852
omega,closeness,atcaLH,0.3759
omega,closeness,ReturnsSega,0.3746
omega,closeness,AndreaDiDomen16,0.3721
omega,closeness,vuk_iv,0.3717
omega,closeness,DrMeleseMengis1,0.3713
omega,closeness,nistefalwlo,0.3713
itisdw,degree,EXOFR_,101
itisdw,degree,Itisdw,100
itisdw,degree,Y6Xm2,99
itisdw,degree,Layaljazz,92
itisdw,degree,_JohnnyKelly,91
itisdw,degree,JayshreeBurnwal,78
itisdw,degree,L___1485,70
itisdw,degree,mchelledavis1,68
itisdw,degree,KNJReports,55
itisdw,degree,MaeStiphany,52
itisdw,betweenness,Itisdw,0.5934
itisdw,betweenness,itisDW,0.2972
itisdw,betweenness,Y6Xm2,0.2151
itisdw,betweenness,EXOFR_,0.2031
itisdw,betweenness,Layaljazz,0.2005
itisdw,betweenness,_JohnnyKelly,0.1984
itisdw,betweenness,JayshreeBurnwal,0.1708
itisdw,betweenness,mchelledavis1,0.1492
itisdw,betweenness,L___1485,0.1485
itisdw,betweenness,KNJReports,0.1209
itisdw,eigenvector,Itisdw,0.5028
itisdw,eigenvector,EXOFR_,0.3245
itisdw,eigenvector,Y6Xm2,0.2275
itisdw,eigenvector,Layaljazz,0.1874
itisdw,eigenvector,_JohnnyKelly,0.1828
itisdw,eigenvector,itisDW,0.1511
itisdw,eigenvector,L___1485,0.1417
itisdw,eigenvector,JayshreeBurnwal,0.1386
itisdw,eigenvector,MaeStiphany,0.1218
itisdw,eigenvector,boltxn1,0.1212
itisdw,closeness,Itisdw,0.5312
itisdw,closeness,itisDW,0.4529
itisdw,closeness,EXOFR_,0.3777
